name,addr,city,phone,type,class
"emeril's new orleans fish house","3799 las vegas blvd. s.","las vegas","702-891-7374","seafood",659
"fiore rotisserie & grille","3700 w. flamingo rd.","las vegas","702-252-7702","italian",660
"hugo's cellar","202 e. fremont st.","las vegas","702-385-4011","continental",661
"madame ching's","3300 las vegas blvd. s.","las vegas","702-894-7111","asian",662
"mayflower cuisinier","4750 w. sahara ave.","las vegas","702-870-8432","chinese",663
"michael's (las vegas)","3595 las vegas blvd. s.","las vegas","702-737-7111","continental",664
"monte carlo","3145 las vegas blvd. s.","las vegas","702-733-4524","french (new)",665
"moongate","3400 las vegas blvd. s.","las vegas","702-791-7352","chinese",666
"morton's of chicago (las vegas)","3200 las vegas blvd. s.","las vegas","702-893-0703","steakhouses",667
"nicky blair's","3925 paradise rd.","las vegas","702-792-9900","italian",668
"piero's restaurant","355 convention center dr.","las vegas","702-369-2305","italian",669
"spago (las vegas)","3500 las vegas blvd. s.","las vegas","702-369-6300","californian",670
"steakhouse  the","128 e. fremont st.","las vegas","702-382-1600","steakhouses",671
"stefano's","129 fremont st.","las vegas","702-385-7111","italian",672
"sterling brunch","3645 las vegas blvd. s.","las vegas","702-739-4651","eclectic",673
"tre visi","3799 las vegas blvd. s.","las vegas","702-891-7331","italian",674
"103 west","103 w. paces ferry rd.","atlanta","404-233-5993","continental",675
"alon's at the terrace","659 peachtree st.","atlanta","404-724-0444","sandwiches",676
"baker's cajun cafe","1134 euclid ave.","atlanta","404-223-5039","cajun/creole",677
"barbecue kitchen","1437 virginia ave.","atlanta","404-766-9906","bbq",678
"bistro  the","56 e. andrews dr. nw","atlanta","404-231-5733","french bistro",679
"bobby & june's kountry kitchen","375 14th st.","atlanta","404-876-3872","southern/soul",680
"bradshaw's restaurant","2911 s. pharr court","atlanta","404-261-7015","southern/soul",681
"brookhaven cafe","4274 peachtree rd.","atlanta","404-231-5907","vegetarian",682
"cafe sunflower","5975 roswell rd.","atlanta","404-256-1675","health food",683
"canoe","4199 paces ferry rd.","atlanta","770-432-2663","american (new)",684
"carey's","1021 cobb pkwy. se","marietta","770-422-8042","hamburgers",685
"carey's corner","1215 powers ferry rd.","marietta","770-933-0909","hamburgers",686
"chops","70 w. paces ferry rd.","atlanta","404-262-2675","steakhouses",687
"chopstix","4279 roswell rd.","atlanta","404-255-4868","chinese",688
"deacon burton's soulfood restaurant","1029 edgewood ave. se","atlanta","404-523-1929","southern/soul",689
"eats","600 ponce de leon ave.","atlanta","404-888-9149","italian",690
"flying biscuit  the","1655 mclendon ave.","atlanta","404-687-8888","eclectic",691
"frijoleros","1031 peachtree st. ne","atlanta","404-892-8226","tex-mex",692
"greenwood's","1087 green st.","roswell","770-992-5383","southern/soul",693
"harold's barbecue","171 mcdonough blvd.","atlanta","404-627-9268","bbq",694
"havana sandwich shop","2905 buford hwy.","atlanta","404-636-4094","cuban",695
"house of chan","2469 cobb pkwy.","smyrna","770-955-9444","chinese",696
"indian delights","3675 satellite blvd.","duluth","100-813-8212","indian",697
"java jive","790 ponce de leon ave.","atlanta","404-876-6161","coffee shops",698
"johnny rockets (at)","2970 cobb pkwy.","atlanta","770-955-6068","american",699
"kalo's coffee house","1248 clairmont rd.","decatur","404-325-3733","coffeehouses",700
"la fonda latina","4427 roswell rd.","atlanta","404-303-8201","spanish",701
"lettuce souprise you (at)","3525 mall blvd.","duluth","770-418-9969","cafeterias",702
"majestic","1031 ponce de leon ave.","atlanta","404-875-0276","diners",703
"morton's of chicago (atlanta)","303 peachtree st. ne","atlanta","404-577-4366","steakhouses",704
"my thai","1248 clairmont rd.","atlanta","404-636-4280","thai",705
"nava","3060 peachtree rd.","atlanta","404-240-1984","southwestern",706
"nuevo laredo cantina","1495 chattahoochee ave. nw","atlanta","404-352-9009","mexican",707
"original pancake house (at)","4330 peachtree rd.","atlanta","404-237-4116","american",708
"palm  the (atlanta)","3391 peachtree rd. ne","atlanta","404-814-1955","steakhouses",709
"rainbow restaurant","2118 n. decatur rd.","decatur","404-633-3538","vegetarian",710
"ritz-carlton cafe (atlanta)","181 peachtree st.","atlanta","404-659-0400","american (new)",711
"riviera","519 e. paces ferry rd.","atlanta","404-262-7112","mediterranean",712
"silver skillet  the","200 14th st. nw","atlanta","404-874-1388","coffee shops",713
"soto","3330 piedmont rd.","atlanta","404-233-2005","japanese",714
"thelma's kitchen","764 marietta st. nw","atlanta","404-688-5855","cafeterias",715
"tortillas","774 ponce de leon ave. ne","atlanta","404-892-0193","tex-mex",716
"van gogh's restaurant & bar","70 w. crossville rd.","roswell","770-993-1156","american (new)",717
"veggieland","220 sandy springs circle","atlanta","404-231-3111","vegetarian",718
"white house restaurant","3172 peachtree rd. ne","atlanta","404-237-7601","diners",719
"zab-e-lee","4837 old national hwy.","college park","404-768-2705","thai",720
"bill's place","2315 clement st.","san francisco","415-221-5262","hamburgers",721
"cafe flore","2298 market st.","san francisco","415-621-8579","californian",722
"caffe greco","423 columbus ave.","san francisco","415-397-6261","continental",723
"campo santo","240 columbus ave.","san francisco","415-433-9623","mexican",724
"cha cha cha's","1805 haight st.","san francisco","415-386-5758","caribbean",725
"doidge's","2217 union st.","san francisco","415-921-2149","american",726
"dottie's true blue cafe","522 jones st.","san francisco","415-885-2767","diners",727
"dusit thai","3221 mission st.","san francisco","415-826-4639","thai",728
"ebisu","1283 ninth ave.","san francisco","415-566-1770","japanese",729
"emerald garden restaurant","1550 california st.","san francisco","415-673-1155","vietnamese",730
"eric's chinese restaurant","1500 church st.","san francisco","415-282-0919","chinese",731
"hamburger mary's","1582 folsom st.","san francisco","415-626-1985","hamburgers",732
"kelly's on trinity","333 bush st.","san francisco","415-362-4454","californian",733
"la cumbre","515 valencia st.","san francisco","415-863-8205","mexican",734
"la mediterranee","288 noe st.","san francisco","415-431-7210","mediterranean",735
"la taqueria","2889 mission st.","san francisco","415-285-7117","mexican",736
"mario's bohemian cigar store cafe","2209 polk st.","san francisco","415-776-8226","italian",737
"marnee thai","2225 irving st.","san francisco","415-665-9500","thai",738
"mel's drive-in","3355 geary st.","san francisco","415-387-2244","hamburgers",739
"mo's burgers","1322 grant st.","san francisco","415-788-3779","hamburgers",740
"phnom penh cambodian restaurant","631 larkin st.","san francisco","415-775-5979","cambodian",741
"roosevelt tamale parlor","2817 24th st.","san francisco","415-550-9213","mexican",742
"sally's cafe & bakery","300 de haro st.","san francisco","415-626-6006","american",743
"san francisco bbq","1328 18th st.","san francisco","415-431-8956","thai",744
"slanted door","584 valencia st.","san francisco","415-861-8032","vietnamese",745
"swan oyster depot","1517 polk st.","san francisco","415-673-1101","seafood",746
"thep phanom","400 waller st.","san francisco","415-431-2526","thai",747
"ti couz","3108 16th st.","san francisco","415-252-7373","french",748
"trio cafe","1870 fillmore st.","san francisco","415-563-2248","american",749
"tu lan","8 sixth st.","san francisco","415-626-0927","vietnamese",750
"vicolo pizzeria","201 ivy st.","san francisco","415-863-2382","pizza",751
"wa-ha-ka oaxaca mexican grill","2141 polk st.","san francisco","415-775-1055","mexican",752
